Age;Gender;Occupation;WTS;Occasions;Importance;Stratum;Lifestyle;Freq
Adult;Female;Student;Medium;Special events;Music;Capital;Busy;Rarely
Old;Male;Student_W;Medium;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student_W;Small;Friends;Environment;Capital;Traveling;Frequency
Adult;Male;Student_W;High;Friends;Music;Urban;Traveling;Sometimes
Adult;Female;Student_W;Medium;Friends;Music;Capital;Busy;Rarely
Adult;Male;Student;Medium;Friends;Music;Capital;Nightlife;Frequency
Adult;Female;Student;Medium;Friends;Environment;Capital;Busy;Rarely
Young;Female;Student;Medium;Friends;Environment;Urban;Busy;Rarely
Adult;Female;Student;Medium;Friends;Music;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student_W;Medium;Friends;Music;Capital;Busy;Rarely
Adult;Male;Student;Small;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Small;Friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student_W;High;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Special events;Environment;Capital;Busy;Sometimes
Adult;Male;Student_W;Medium;Friends;Environment;Capital;Art;Frequency
Adult;Female;Student;Medium;Friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Friends;Environment;Capital;Traveling;Rarely
Adult;Female;Student;Medium;Friends;Music;Capital;Traveling;Sometimes
Adult;Female;Student;Small;Music;Music;Capital;Busy;Rarely
Adult;Female;Student;High;Birthdays;Music;Capital;Art;Sometimes
Adult;Male;Student;Medium;Special events;Environment;Capital;Sport;Rarely
Adult;Female;Student;High;Special events;Music;Capital;Busy;Rarely
Adult;Female;Student;High;Birthdays;Environment;Capital;Traveling;Rarely
Young;Male;Student;Medium;Friends;Music;Capital;Busy;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Traveling;Sometimes
Adult;Female;Student;Medium;Birthdays;Music;Rural;Busy;Rarely
Adult;Female;Student;Small;Friends;Music;Capital;Busy;Sometimes
Young;Female;Student;Medium;Friends;Music;Urban;Busy;Rarely
Adult;Male;Student;High;Friends;Environment;Urban;Busy;Sometimes
Old;Male;Working;High;Friends;Music;Capital;Busy;Sometimes
Adult;Female;Student_W;Small;Friends;Environment;Capital;Busy;Frequency
Adult;Female;Student_W;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student_W;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Friends;Pricing;Capital;Art;Frequency
Adult;Female;Student_W;Medium;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Small;Friends;Environment;Capital;Passive;Rarely
